split,scenario_id,net_id,demand_node,truth,sigma,pred_surrogate_ensemble,pred_surrogate_single,pred_mlp_no_message_passing,pred_tabular_gbt,pred_tabular_gbt_l1,pred_tabular_ridge,pred_retrieval_knn,pred_topology_heuristic,pred_constant_zero,pred_constant_train_mean
train,82,0,46,0,0.0268886,0.00372436,0.00332006,0.00539076,0,0,0.00040614,0,0,0,0.0127829
train,82,0,47,0,0.0268497,0.00371816,0.00329343,0.00539208,0,0,0,0,0,0,0.0127829
train,82,0,48,0,0.0661296,0.00753035,0.00751939,0.00539435,0,0,0.0326604,0,0,0,0.0127829
train,82,0,49,0,0.0698476,0.00797925,0.00768213,0.00539255,0.00402406,0,0.0244801,0,0,0,0.0127829
train,82,0,50,0,0.0268404,0.00372137,0.00330316,0.00539141,0,0,0,0,0,0,0.0127829
train,82,0,51,0,0.0551075,0.00615468,0.00597544,0.0053936,0,0,0.0224995,0,0,0,0.0127829
train,82,0,52,0,0.085856,0.0104911,0.00990368,0.00539624,0,0,0.0433467,0,0,0,0.0127829
train,82,0,53,0,0.0268802,0.00372346,0.00331775,0.00539122,0,0,0,0,0,0,0.0127829
train,85,0,46,0,0.0268886,0.00372436,0.00332006,0.00539076,0,0,0,0,0.00483371,0,0.0127829
train,85,0,47,0,0.0268497,0.00371817,0.00329343,0.00539208,0,0,0,0,0.00483371,0,0.0127829
train,85,0,48,0,0.0661179,0.00752909,0.0075171,0.00539435,0,0,0.0240718,0,0.00483371,0,0.0127829
train,85,0,49,0,0.0698466,0.00797901,0.00768198,0.00539255,0.00399582,0,0.0158916,0,0.00483371,0,0.0127829
train,85,0,50,0,0.0268404,0.00372138,0.00330316,0.00539141,0,0,0,0,0.00483371,0,0.0127829
train,85,0,51,0,0.0551019,0.00615413,0.00597454,0.0053936,0.00336694,0,0.013911,0,0.00483371,0,0.0127829
train,85,0,52,0,0.085856,0.0104911,0.00990368,0.00539624,0,0,0.0347581,0,0,0,0.0127829
train,85,0,53,0,0.0268802,0.00372346,0.00331774,0.00539122,0.000724112,0,0,0,0.00483371,0,0.0127829
train,87,0,46,0,0.0269404,0.00374371,0.00330378,0.00539076,0,0,0.0380939,2.7011e-08,0.0318776,0,0.0127829
train,87,0,47,0,0.0268986,0.00372951,0.00329078,0.00539208,0,0,0.0372193,0,0.0318776,0,0.0127829
train,87,0,48,0.153088,0.179275,0.0451887,0.0565808,0.00539435,0.158231,0,0.0703482,0.153088,0.0318776,0,0.0127829
train,87,0,49,0.0671153,0.0700265,0.00800029,0.00770092,0.00539255,0.0604075,0,0.0621679,0.0671152,0.0318776,0,0.0127829
train,87,0,50,0,0.0268646,0.00372454,0.0032869,0.00539141,0,0,0.0356211,0,0.0318776,0,0.0127829
train,87,0,51,0,0.0551395,0.00615737,0.00597433,0.0053936,0.0399226,0,0.0601873,7.36484e-08,0.0318776,0,0.0127829
train,87,0,52,0.138346,0.0863154,0.0113753,0.0104962,0.0134675,0.162328,0,0.108124,0.138346,0.0318776,0,0.0127829
train,87,0,53,0,0.0268626,0.00373565,0.00331842,0.00539122,0,0,0.0258043,0,0.0318776,0,0.0127829
train,89,0,46,0,0.0268888,0.00372445,0.00332008,0.00539076,0,0,0,0,0.0126896,0,0.0127829
train,89,0,47,0,0.0268496,0.00371809,0.00329343,0.00539208,0,0,0,5.13782e-06,0.0126896,0,0.0127829
train,89,0,48,0,0.0662656,0.00754431,0.00751796,0.00539435,0,0,0.0307805,4.17395e-06,0.0126896,0,0.0127829
train,89,0,49,0,0.0699246,0.00798858,0.0076794,0.00539255,0.00728942,0,0.0226003,1.38493e-09,0.0126896,0,0.0127829
train,89,0,50,0,0.0268403,0.00372133,0.00330317,0.00539141,0,0,0,1.44482e-09,0.0126896,0,0.0127829
train,89,0,51,0.00345382,0.0551685,0.00616093,0.00597367,0.0053936,0.00956155,0,0.0206196,0.0034538,0.0126896,0,0.0127829
train,89,0,52,0,0.086082,0.0105162,0.00989847,0.00539624,0,0,0.0414668,0,0.0126896,0,0.0127829
train,89,0,53,0,0.0268796,0.00372351,0.00331774,0.00539122,0,0,0,0,0.0126896,0,0.0127829
train,90,0,46,0,0.0268888,0.00372446,0.00332009,0.00539076,0.00296176,0,0.0264544,0.00066792,0.0404694,0,0.0127829
train,90,0,47,0,0.0268496,0.0037181,0.00329344,0.00539208,0.00366471,0,0.0255798,0.000557329,0.0404694,0,0.0127829
train,90,0,48,0.304218,0.0662756,0.00754566,0.00751981,0.00539435,0.162858,0,0.0587087,0.30297,0.0404694,0,0.0127829
train,90,0,49,0.277925,0.0699382,0.00799031,0.00768123,0.00539255,0.155771,0,0.0505285,0.276575,0.0404694,0,0.0127829
train,90,0,50,0,0.0268403,0.00372134,0.00330318,0.00539141,0.00285926,0,0.0239816,0.000432745,0.0404694,0,0.0127829
train,90,0,51,0.229834,0.0551706,0.00616136,0.00597389,0.0053936,0.15388,0,0.0485478,0.229833,0.0404694,0,0.0127829
train,90,0,52,0.256963,0.0860959,0.0105184,0.00990025,0.00539624,0.144949,0,0.069395,0.256017,0.0404694,0,0.0127829
train,90,0,53,0,0.0268796,0.00372352,0.00331775,0.00539122,0,0,0.0141648,0,0.0404694,0,0.0127829
train,97,0,46,0,0.026942,0.00374388,0.0033028,0.00539076,0,0,0.0410811,2.20552e-08,0.0318776,0,0.0127829
train,97,0,47,0,0.026904,0.00373009,0.00329174,0.00539208,0,0,0.0402064,6.71356e-09,0.0318776,0,0.0127829
train,97,0,48,0.231953,0.178742,0.0447841,0.0555838,0.00539435,0.195316,0,0.0733353,0.231953,0.0318776,0,0.0127829
train,97,0,49,0.0548015,0.070031,0.0080009,0.00770035,0.00539255,0.118798,0,0.0651551,0.0548016,0.0318776,0,0.0127829
train,97,0,50,0,0.0268664,0.00372458,0.00328659,0.00539141,0,0,0.0386083,0,0.0318776,0,0.0127829
train,97,0,51,0.0122895,0.0551412,0.00615752,0.00597392,0.0053936,0.0625106,0,0.0631745,0.0122895,0.0318776,0,0.0127829
train,97,0,52,0.201161,0.0884819,0.0115979,0.0107731,0.0134682,0.243889,0,0.098978,0.201161,0.0318776,0,0.0127829
train,97,0,53,0,0.026861,0.00373552,0.00331804,0.00539122,0,0,0.0287914,0,0.0318776,0,0.0127829
train,100,0,46,0,0.0269458,0.00374491,0.00330218,0.00539076,0,0,0.051524,1.49861e-07,0.0318776,0,0.0127829
train,100,0,47,0,0.0269105,0.00373148,0.00329209,0.00539208,0,0,0.0506494,0,0.0318776,0,0.0127829
train,100,0,48,0.439284,0.178993,0.0448524,0.0554601,0.00539435,0.314001,0,0.0837783,0.439284,0.0318776,0,0.0127829
train,100,0,49,0.132947,0.0700356,0.00800146,0.00770021,0.00539255,0.163826,0,0.0755981,0.132947,0.0318776,0,0.0127829
train,100,0,50,0,0.0268699,0.00372548,0.00328636,0.00539141,0,0,0.0490512,0,0.0318776,0,0.0127829
train,100,0,51,0,0.0551422,0.00615756,0.00597373,0.0053936,0.122429,0,0.0736175,2.66901e-07,0.0318776,0,0.0127829
train,100,0,52,0.236897,0.0903698,0.0119872,0.0109941,0.013515,0.273664,0,0.138207,0.236897,0.0318776,0,0.0127829
train,100,0,53,0,0.026861,0.00373607,0.00331772,0.00539122,0.000847946,0,0.0392344,0,0.0318776,0,0.0127829
train,107,0,46,0,0.0268918,0.0037247,0.00332189,0.00539076,0,0,0.0113129,0,0.0146619,0,0.0127829
train,107,0,47,0,0.0268469,0.00371756,0.00329394,0.00539208,8.29751e-05,0,0.0104382,0,0.0146619,0,0.0127829
train,107,0,48,0,0.093826,0.0120459,0.00845751,0.00539435,0.0200104,0,0.0435671,0,0.0146619,0,0.0127829
train,107,0,49,0,0.0721949,0.00831115,0.00799215,0.00539255,0.0344322,0,0.0353869,0,0.0146619,0,0.0127829
train,107,0,50,0,0.0268402,0.00372086,0.00330439,0.00539141,0.000305955,0,0.00884006,0,0.0146619,0,0.0127829
train,107,0,51,0,0.0577225,0.00638888,0.00615077,0.0053936,0.0240057,0,0.0334063,0,0.0146619,0,0.0127829
train,107,0,52,0,0.0859188,0.0104974,0.00989788,0.00539624,0.0205655,0,0.0542534,0,0.0146619,0,0.0127829
train,107,0,53,0,0.0268812,0.00372401,0.00332006,0.00539122,0,0,0,0,0.0146619,0,0.0127829
train,108,0,46,0,0.0270183,0.0037609,0.00330705,0.00539076,0,0,0.0516419,0,0.0278474,0,0.0127829
train,108,0,47,0,0.089782,0.0123534,0.0102518,0.013255,0.00612811,0,0.0955789,0,0.0278474,0,0.0127829
train,108,0,48,0,0.097734,0.0128152,0.00958982,0.00539435,0.116625,0,0.0838961,8.64034e-07,0.0278474,0,0.0127829
train,108,0,49,0.166631,0.191369,0.046475,0.0446549,0.0135035,0.181642,0,0.120528,0.166631,0.0278474,0,0.0127829
train,108,0,50,0,0.0895308,0.0122891,0.0105464,0.0133053,0,0,0.0939807,5.53256e-08,0.0278474,0,0.0127829
train,108,0,51,0.0489422,0.124714,0.0206871,0.0228431,0.0053936,0.0693768,0,0.0737353,0.0489422,0.0278474,0,0.0127829
train,108,0,52,0.499476,0.352148,0.185327,0.229671,0.00539624,0.387283,0,0.0945825,0.499475,0.0278474,0,0.0127829
train,108,0,53,0,0.0829774,0.0113981,0.00866226,0.0132124,0.00508589,0,0.0841639,0,0.0278474,0,0.0127829
train,109,0,46,0,0.0268886,0.00372437,0.00332006,0.00539076,0,0,0.00474615,0,0.00973094,0,0.0127829
train,109,0,47,0,0.0268497,0.00371817,0.00329343,0.00539208,0,0,0.00387151,0,0.00973094,0,0.0127829
train,109,0,48,0,0.0661175,0.00752903,0.00751759,0.00539435,0.0582838,0,0.0370004,0,0.00973094,0,0.0127829
train,109,0,49,0,0.0698459,0.00797893,0.00768191,0.00539255,0,0,0.0288202,0,0.00973094,0,0.0127829
train,109,0,50,0,0.0268404,0.00372138,0.00330316,0.00539141,0,0,0.00227334,0,0.00973094,0,0.0127829
train,109,0,51,0,0.0551022,0.00615415,0.00597461,0.0053936,0,0,0.0268396,1.35274e-09,0.00973094,0,0.0127829
train,109,0,52,0,0.085856,0.0104911,0.00990368,0.00539624,0.0140519,0,0.0476867,0,0.00973094,0,0.0127829
train,109,0,53,0,0.0268802,0.00372346,0.00331774,0.00539122,0.00204538,0,0,0,0.00973094,0,0.0127829
train,111,0,46,0,0.0269077,0.00372828,0.00331956,0.00539076,0.000269192,0,0.00819086,0,0,0,0.0127829
train,111,0,47,0,0.0268487,0.0037174,0.00329328,0.00539208,0,0,0.00731622,0,0,0,0.0127829
train,111,0,48,0,0.0661296,0.00753035,0.00751939,0.00539435,0,0,0.0404451,0,0,0,0.0127829
train,111,0,49,0,0.0698476,0.00797925,0.00768213,0.00539255,0.00886406,0,0.0322649,0,0,0,0.0127829
train,111,0,50,0,0.0268405,0.00371991,0.00330338,0.00539141,0.00018508,0,0.00571806,0,0,0,0.0127829
train,111,0,51,0,0.0551075,0.00615468,0.00597544,0.0053936,0,0,0.0302843,0,0,0,0.0127829
train,111,0,52,0,0.085856,0.0104911,0.00990368,0.00539624,0.0163912,0,0.0511314,0,0,0,0.0127829
train,111,0,53,0,0.0268764,0.0037241,0.0033183,0.00539122,0.0017635,0,0,0,0,0,0.0127829
train,113,0,46,0,0.0268886,0.00372436,0.00332006,0.00539076,0,0,0,0,0.000354209,0,0.0127829
train,113,0,47,0,0.0268497,0.00371816,0.00329343,0.00539208,0,0,0,0,0.000354209,0,0.0127829
train,113,0,48,0,0.0661296,0.00753035,0.00751939,0.00539435,0.00289844,0,0.0150303,0,0.000354209,0,0.0127829
train,113,0,49,0,0.0698476,0.00797925,0.00768213,0.00539255,0,0,0.00685012,0,0.000354209,0,0.0127829
train,113,0,50,0,0.0268404,0.00372137,0.00330316,0.00539141,0,0,0,0,0.000354209,0,0.0127829
train,113,0,51,0,0.0551075,0.00615468,0.00597544,0.0053936,0.00648696,0,0.00486952,0,0.000354209,0,0.0127829
train,113,0,52,0,0.085856,0.0104911,0.00990368,0.00539624,0,0,0.0257167,0,0,0,0.0127829
train,113,0,53,0,0.0268802,0.00372346,0.00331775,0.00539122,0,0,0,0,0.000354209,0,0.0127829
train,114,0,46,0,0.0268886,0.00372436,0.00332006,0.00539076,0.000222856,0,0,0,0.0113249,0,0.0127829
train,114,0,47,0,0.0268497,0.00371816,0.00329343,0.00539208,0.000555542,0,0,0,0.0113249,0,0.0127829
train,114,0,48,0,0.0661296,0.00753035,0.00751939,0.00539435,0,0,0.029654,0,0.0113249,0,0.0127829
train,114,0,49,0,0.0698476,0.00797925,0.00768213,0.00539255,0.0110463,0,0.0214738,0,0.0113249,0,0.0127829
train,114,0,50,0,0.0268404,0.00372137,0.00330316,0.00539141,0.000388415,0,0,0,0.0113249,0,0.0127829
train,114,0,51,0,0.0551075,0.00615468,0.00597544,0.0053936,0.0030512,0,0.0194932,0,0.0113249,0,0.0127829
train,114,0,52,0,0.085856,0.0104911,0.00990368,0.00539624,0,0,0.0403403,0,0.0113249,0,0.0127829
train,114,0,53,0,0.0268802,0.00372346,0.00331775,0.00539122,0.000516385,0,0,0,0.0113249,0,0.0127829
train,122,0,46,0,0.0269463,0.00374496,0.00330202,0.00539076,0,0,0.0522244,1.48933e-07,0.0318776,0,0.0127829
train,122,0,47,0,0.0269111,0.00373157,0.00329221,0.00539208,0,0,0.0513497,5.25292e-08,0.0318776,0,0.0127829
train,122,0,48,0.505978,0.178841,0.0447485,0.0551987,0.00539435,0.345372,0,0.0844786,0.505977,0.0318776,0,0.0127829
train,122,0,49,0.127913,0.0700359,0.0080015,0.00769995,0.00539255,0.203708,0,0.0762984,0.127912,0.0318776,0,0.0127829
train,122,0,50,0,0.0268702,0.0037255,0.0032863,0.00539141,0,0,0.0497516,0,0.0318776,0,0.0127829
train,122,0,51,0.0961576,0.0551426,0.0061576,0.00597369,0.0053936,0.146998,0,0.0743178,0.0961572,0.0318776,0,0.0127829
train,122,0,52,0.348306,0.0904137,0.0119673,0.0110093,0.013524,0.344772,0,0.152074,0.348306,0.0318776,0,0.0127829
train,122,0,53,0,0.0268607,0.00373603,0.00331761,0.00539122,0,0,0.0399347,0,0.0318776,0,0.0127829
train,124,0,46,0,0.0269369,0.00374229,0.00330492,0.00539076,0,0,0.0322926,2.52854e-08,0.0318776,0,0.0127829
train,124,0,47,0,0.0268899,0.00372736,0.00329014,0.00539208,0.00236713,0,0.031418,0,0.0318776,0,0.0127829
train,124,0,48,0,0.179346,0.0452563,0.0569421,0.00539435,0.0826141,0,0.0645469,5.49775e-07,0.0318776,0,0.0127829
train,124,0,49,0,0.0700205,0.00799954,0.00770104,0.00539255,0,0,0.0563666,1.84216e-07,0.0318776,0,0.0127829
train,124,0,50,0,0.0268605,0.00372334,0.00328746,0.00539141,0,0,0.0298198,0,0.0318776,0,0.0127829
train,124,0,51,0,0.0551383,0.00615731,0.00597465,0.0053936,0,0,0.054386,1.34296e-08,0.0318776,0,0.0127829
train,124,0,52,0,0.085471,0.0112104,0.0103912,0.0133575,0.00568565,0,0.053442,0.000953378,0.0318776,0,0.0127829
train,124,0,53,0,0.026864,0.00373501,0.00331895,0.00539122,0.00775968,0,0.020003,0,0.0318776,0,0.0127829
train,125,0,46,0,0.0268888,0.00372447,0.00332009,0.00539076,0.00115573,0,0.0253984,0.000695724,0.0404694,0,0.0127829
train,125,0,47,0,0.0268496,0.00371809,0.00329344,0.00539208,0.00177333,0,0.0245238,0.00102846,0.0404694,0,0.0127829
train,125,0,48,0.0809127,0.0662812,0.00754621,0.0075197,0.00539435,0.133044,0,0.0576526,0.0824917,0.0404694,0,0.0127829
train,125,0,49,0.0960306,0.069941,0.00799065,0.00768104,0.00539255,0.117981,0,0.0494724,0.097314,0.0404694,0,0.0127829
train,125,0,50,0,0.0268403,0.00372133,0.00330318,0.00539141,0.000829119,0,0.0229256,0.000823827,0.0404694,0,0.0127829
train,125,0,51,0.0459995,0.0551731,0.00616161,0.00597384,0.0053936,0.120934,0,0.0474918,0.0475729,0.0404694,0,0.0127829
train,125,0,52,0.0402138,0.0861071,0.0105196,0.00990003,0.00539624,0.0988858,0,0.068339,0.0424872,0.0404694,0,0.0127829
train,125,0,53,0,0.0268795,0.00372352,0.00331775,0.00539122,0,0,0.0131088,0,0.0404694,0,0.0127829
train,126,0,46,0,0.0268886,0.00372436,0.00332006,0.00539076,0.00507169,0,0.0160438,4.82963e-08,0.0126896,0,0.0127829
train,126,0,47,0,0.0268497,0.00371816,0.00329343,0.00539208,0.00501963,0,0.0151691,7.94812e-08,0.0126896,0,0.0127829
train,126,0,48,0.000729395,0.0661296,0.00753035,0.00751939,0.00539435,0.0445187,0,0.048298,0.000729484,0.0126896,0,0.0127829
train,126,0,49,0.120003,0.0698476,0.00797925,0.00768213,0.00539255,0.0741711,0,0.0401178,0.120003,0.0126896,0,0.0127829
train,126,0,50,0,0.0268404,0.00372137,0.00330316,0.00539141,0.00504923,0,0.013571,0.000199954,0.0126896,0,0.0127829
train,126,0,51,0.0791601,0.0551075,0.00615468,0.00597544,0.0053936,0.0651673,0,0.0381372,0.07916,0.0126896,0,0.0127829
train,126,0,52,0.0295361,0.085856,0.0104911,0.00990368,0.00539624,0.0635956,0,0.0589843,0.0295361,0.0126896,0,0.0127829
train,126,0,53,0,0.0268802,0.00372346,0.00331775,0.00539122,0.00139344,0,0.00375413,0,0.0126896,0,0.0127829
train,132,0,46,0,0.0268886,0.00372436,0.00332006,0.00539076,0.00282697,0,0,3.4741e-08,0.0100493,0,0.0127829
train,132,0,47,0,0.0268497,0.00371816,0.00329343,0.00539208,0.00131244,0,0,2.62287e-08,0.0100493,0,0.0127829
train,132,0,48,0,0.0661296,0.00753035,0.00751939,0.00539435,0,0,0.0317745,1.02919e-08,0.0100493,0,0.0127829
train,132,0,49,0,0.0698476,0.00797925,0.00768213,0.00539255,0.0114645,0,0.0235943,5.00109e-08,0.0100493,0,0.0127829
train,132,0,50,0,0.0268404,0.00372137,0.00330316,0.00539141,0.00115347,0,0,2.33713e-08,0.0100493,0,0.0127829
train,132,0,51,0,0.0551075,0.00615468,0.00597544,0.0053936,0.0157502,0,0.0216137,3.32111e-08,0.0100493,0,0.0127829
train,132,0,52,0,0.085856,0.0104911,0.00990368,0.00539624,0.0145375,0,0.0424608,1.25557e-08,0.0100493,0,0.0127829
train,132,0,53,0,0.0268802,0.00372346,0.00331775,0.00539122,0.000144583,0,0,0,0.0100493,0,0.0127829
train,137,0,46,0,0.0268886,0.00372439,0.00332009,0.00539076,0.00247251,0,0.0198415,0.000282809,0.0404694,0,0.0127829
train,137,0,47,0,0.0268497,0.00371818,0.00329344,0.00539208,0.00319444,0,0.0189668,0.000864771,0.0404694,0,0.0127829
train,137,0,48,0.179505,0.0661327,0.0075309,0.00751952,0.00539435,0.13716,0,0.0520957,0.178274,0.0404694,0,0.0127829
train,137,0,49,0.142378,0.0698569,0.00798035,0.00768099,0.00539255,0.129523,0,0.0439155,0.141914,0.0404694,0,0.0127829
train,137,0,50,0,0.0268404,0.00372138,0.00330318,0.00539141,0.00226916,0,0.0173687,0.000770342,0.0404694,0,0.0127829
train,137,0,51,0.15382,0.0551039,0.00615465,0.0059739,0.0053936,0.13199,0,0.0419349,0.153129,0.0404694,0,0.0127829
train,137,0,52,0.0186826,0.0859046,0.0104964,0.00990009,0.00539624,0.115922,0,0.062782,0.0212635,0.0404694,0,0.0127829
train,137,0,53,0,0.0268802,0.00372347,0.00331775,0.00539122,0.00076713,0,0.00755181,0,0.0404694,0,0.0127829
train,140,0,46,0,0.0268923,0.0037248,0.00332221,0.00539076,0.00127358,0,0.01753,0.000151578,0.0404694,0,0.0127829
train,140,0,47,0,0.0268467,0.00371756,0.00329395,0.00539208,0.00141097,0,0.0166554,0.000399441,0.0404694,0,0.0127829
train,140,0,48,0.134269,0.101131,0.0135893,0.00858825,0.00539435,0.06299,0,0.0497843,0.133149,0.0404694,0,0.0127829
train,140,0,49,0.0794962,0.0732183,0.00846211,0.00809109,0.00539255,0.0556591,0,0.041604,0.0789045,0.0404694,0,0.0127829
train,140,0,50,0,0.0268403,0.0037209,0.00330449,0.00539141,0.000749006,0,0.0150572,7.90549e-08,0.0404694,0,0.0127829
train,140,0,51,0.034,0.0580226,0.00642022,0.00618558,0.0053936,0.0594371,0,0.0396234,0.034,0.0404694,0,0.0127829
train,140,0,52,0,0.0858791,0.010493,0.00989756,0.00539624,0.0357128,0,0.0604706,2.92315e-07,0.0404694,0,0.0127829
train,140,0,53,0,0.0268817,0.0037241,0.00332032,0.00539122,4.16844e-06,0,0.00524038,0,0.0404694,0,0.0127829
train,142,0,46,0,0.0270165,0.00376052,0.00330705,0.00539076,0.001134,0,0.0447222,0,0.0278474,0,0.0127829
train,142,0,47,0,0.0866101,0.0118315,0.00955828,0.0131658,0.000833527,0,0.0639004,0,0.0278474,0,0.0127829
train,142,0,48,0,0.0974066,0.0127438,0.0095576,0.00539435,0.0202759,0,0.0769764,6.34003e-07,0.0278474,0,0.0127829
train,142,0,49,0.12992,0.188899,0.0458219,0.0434119,0.0134668,0.179298,0,0.088849,0.129711,0.0278474,0,0.0127829
train,142,0,50,0,0.086138,0.0117378,0.00985177,0.0132237,0,0,0.0623022,0,0.0278474,0,0.0127829
train,142,0,51,0.0382472,0.124363,0.0205939,0.0227753,0.0053936,0.0364159,0,0.0668156,0.0382473,0.0278474,0,0.0127829
train,142,0,52,0.357041,0.351986,0.185556,0.230452,0.00539624,0.273395,0,0.0876627,0.35704,0.0278474,0,0.0127829
train,142,0,53,0,0.0789045,0.0107463,0.00800227,0.0131071,0.00229767,0,0.0524853,0,0.0278474,0,0.0127829
train,143,0,46,0,0.0268886,0.00372436,0.00332006,0.00539076,0,0,0.00333895,0,0.0144547,0,0.0127829
train,143,0,47,0,0.0268497,0.00371817,0.00329343,0.00539208,0,0,0.00246431,0,0.0144547,0,0.0127829
train,143,0,48,0,0.0661296,0.00753035,0.00751939,0.00539435,0,0,0.0355932,0,0.0144547,0,0.0127829
train,143,0,49,0,0.0698476,0.00797925,0.00768213,0.00539255,0.00894395,0,0.027413,0,0.0144547,0,0.0127829
train,143,0,50,0,0.0268404,0.00372138,0.00330316,0.00539141,0,0,0.000866147,0,0.0144547,0,0.0127829
train,143,0,51,0,0.0551075,0.00615468,0.00597544,0.0053936,0,0,0.0254324,3.93831e-06,0.0144547,0,0.0127829
train,143,0,52,0,0.085856,0.0104911,0.00990368,0.00539624,0.0084551,0,0.0462795,5.67718e-05,0.0144547,0,0.0127829
train,143,0,53,0,0.0268802,0.00372346,0.00331775,0.00539122,0,0,0,0,0.0144547,0,0.0127829
train,144,0,46,0,0.0268886,0.00372436,0.00332006,0.00539076,0.00408663,0,0.0013304,0,0.0363253,0,0.0127829
train,144,0,47,0,0.0268497,0.00371816,0.00329343,0.00539208,0.000927608,0,0.000455755,0,0.0363253,0,0.0127829
train,144,0,48,0,0.0661296,0.00753035,0.00751939,0.00539435,0,0,0.0335846,6.7205e-06,0.0363253,0,0.0127829
train,144,0,49,0,0.0698476,0.00797925,0.00768213,0.00539255,0.00657722,0,0.0254044,4.38044e-05,0.0363253,0,0.0127829
train,144,0,50,0,0.0268404,0.00372137,0.00330316,0.00539141,0.00155167,0,0,0,0.0363253,0,0.0127829
train,144,0,51,0,0.0551075,0.00615468,0.00597544,0.0053936,0.0109387,0,0.0234238,1.09745e-06,0.0363253,0,0.0127829
