split,scenario_id,net_id,demand_node,truth,sigma,pred_surrogate_ensemble,pred_surrogate_single,pred_mlp_no_message_passing,pred_tabular_gbt,pred_tabular_ridge,pred_retrieval_knn,pred_topology_heuristic
train,18,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,0,0.838214
train,18,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.012758,0,0.838214
train,18,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,0,0.838214
train,18,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,0,0.838214
train,19,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,0,0.0879797
train,19,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.0406986,0,0.0879797
train,19,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,0,0.0879797
train,19,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,0,0.0879797
train,20,0,18,0,0.231311,0.077893,0.0712694,0.0741648,0,0.0653562,0,1.24736
train,20,0,19,0.424512,0.232228,0.0793284,0.0733673,0.0739131,0,0.190297,0.424511,1.24736
train,20,0,20,0,0.231284,0.0778935,0.0712591,0.0742177,0,0.0778633,0,1.24736
train,20,0,21,0,0.232043,0.0793894,0.0731831,0.0739413,0,0.123941,0.000363166,1.24736
train,21,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,0,0
train,21,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.0423271,0,0
train,21,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,0,0
train,21,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,0,0
train,22,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,0,0.746911
train,22,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.0504848,0,0.746911
train,22,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,0,0.746911
train,22,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,0,0.746911
train,23,0,18,0,0.231309,0.077898,0.0712746,0.0741648,0,0.0122445,0,1.24736
train,23,0,19,0.244847,0.2324,0.079467,0.0737155,0.0739103,0,0.0855553,0.244847,1.24736
train,23,0,20,0,0.23128,0.077902,0.071265,0.0742177,0,0.0247516,0,1.24736
train,23,0,21,0,0.232137,0.0795012,0.0735068,0.0739397,0,0.0191994,2.00329e-07,1.24736
train,24,0,18,0,0.231206,0.0778991,0.0712735,0.0741648,0,0,0,0.399613
train,24,0,19,0,0.231506,0.0778848,0.0712029,0.0740756,0,0.0429825,0,0.399613
train,24,0,20,0,0.231239,0.077906,0.0712783,0.0742177,0,0,0,0.399613
train,24,0,21,0,0.231193,0.0779898,0.0712592,0.074156,0,0,0,0.399613
train,25,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,0,0.0879797
train,25,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.00255329,0,0.0879797
train,25,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,0,0.0879797
train,25,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,0,0.0879797
train,26,0,18,0,0.231206,0.0778987,0.0712727,0.0741648,0,0.00134798,1.98689e-08,3.71208
train,26,0,19,0.0758788,0.231507,0.0778849,0.0712024,0.0740756,0,0.06451,0.0758787,3.71208
train,26,0,20,0,0.231238,0.0779054,0.0712773,0.0742177,0,0.0138551,2.27951e-08,3.71208
train,26,0,21,0,0.231194,0.0779885,0.0712574,0.074156,0,0,2.36433e-08,3.71208
train,27,0,18,0,0.231275,0.0778726,0.071256,0.0741648,0,0,0,3.1566
train,27,0,19,0.0720137,0.231928,0.0796586,0.0732411,0.0740296,0,0.0692169,0.0720137,3.1566
train,27,0,20,0,0.231287,0.0778744,0.0712633,0.0742177,0,0.000292182,0,3.1566
train,27,0,21,0,0.231231,0.0779568,0.0712549,0.074156,0,0,0,3.1566
train,28,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,6.17691e-10,0
train,28,0,19,0.00235894,0.231507,0.0778849,0.0712022,0.0740756,0,0.0136915,0.00235897,0
train,28,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,7.08662e-10,0
train,28,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,7.35029e-10,0
train,29,0,18,0,0.231275,0.0779055,0.0712809,0.0741648,0,0,0,2.53586
train,29,0,19,0,0.231795,0.0779402,0.0713251,0.0740756,0,0.0596415,0,2.53586
train,29,0,20,0,0.231263,0.0778983,0.0712743,0.0742177,0,0.00898653,0,2.53586
train,29,0,21,0,0.232092,0.0796482,0.0735851,0.0740291,0,0,1.1544e-08,2.53586
train,38,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.0453482,0,2.2346
train,38,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0.0384752,0,2.2346
train,38,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0.0286617,0,2.2346
train,38,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0,0,2.2346
train,39,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.0277785,0,2.77931
train,39,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0.0209056,0,2.77931
train,39,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0.011092,0,2.77931
train,39,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0,0,2.77931
train,40,1,18,0.00855551,0.231536,0.0780104,0.0712898,0.0740197,0,0.00882987,0.0085555,2.98323
train,40,1,19,0.0148402,0.231581,0.0780463,0.0713294,0.074006,0,0.00195692,0.0148401,2.98323
train,40,1,20,0,0.231646,0.0780686,0.071327,0.0740001,0,0,1.85069e-08,2.98323
train,40,1,21,0,0.231226,0.0778749,0.071216,0.0742057,0,0,6.79173e-09,2.98323
train,41,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.00623684,0,2.98323
train,41,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0,0,2.98323
train,41,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0,0,2.98323
train,41,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0,0,2.98323
train,42,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.00392729,0,0
train,42,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0,0,0
train,42,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0,0,0
train,42,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0,0,0
train,43,1,18,0,0.231756,0.0780326,0.0713328,0.0740197,0,0,0,2.76588
train,43,1,19,0,0.231761,0.0780632,0.0713548,0.074006,0,0,0,2.76588
train,43,1,20,0,0.232084,0.0781432,0.0714691,0.0740001,0,0,8.56996e-06,2.76588
train,43,1,21,0,0.231299,0.0778765,0.0712105,0.0742057,0,0,0,2.76588
train,44,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.0631938,0.000113529,2.94794
train,44,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0.0563209,6.49096e-09,2.94794
train,44,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0.0465073,8.94797e-08,2.94794
train,44,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0.000920106,0,2.94794
train,45,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.0250346,0,2.94267
train,45,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0.0181617,0,2.94267
train,45,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0.00834811,8.21948e-08,2.94267
train,45,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0,0,2.94267
train,46,1,18,0.0135553,0.232034,0.0781363,0.0715184,0.0740197,0,0.0487116,0.0135552,2.28934
train,46,1,19,0,0.232104,0.078179,0.0715682,0.074006,0,0.0418386,9.82652e-05,2.28934
train,46,1,20,0,0.231875,0.0780932,0.0713558,0.0740001,0,0.032025,3.63597e-05,2.28934
train,46,1,21,0,0.231293,0.077864,0.0711797,0.0742057,0,0,1.10324e-05,2.28934
train,47,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.030631,0,3.13296
train,47,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0.023758,0,3.13296
train,47,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0.0139444,0,3.13296
train,47,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0,0,3.13296
train,48,1,18,0,0.231751,0.0780281,0.0713298,0.0740197,0,0.0300715,0,2.76588
train,48,1,19,0,0.231758,0.0780563,0.0713523,0.074006,0,0.0231985,0,2.76588
train,48,1,20,0,0.232079,0.0781434,0.0714687,0.0740001,0,0.013385,1.88729e-09,2.76588
train,48,1,21,0,0.231296,0.0778697,0.0712077,0.0742057,0,0,0,2.76588
train,49,1,18,0.439789,0.232539,0.0797519,0.0737779,0.0738731,0,0.33535,0.438731,2.20631
train,49,1,19,0.38634,0.232614,0.0798228,0.0738559,0.0738648,0,0.328477,0.386332,2.20631
train,49,1,20,0.363623,0.231841,0.0780778,0.0713585,0.0740001,0,0.244081,0.363622,2.20631
train,49,1,21,0.304612,0.231768,0.0789726,0.0725679,0.0739926,0,0.273076,0.304305,2.20631
train,50,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.0396907,0,2.80344
train,50,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0.0328177,0,2.80344
train,50,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0.0230042,0,2.80344
train,50,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0,0,2.80344
train,51,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.0493844,5.16966e-08,2.94794
train,51,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0.0425114,7.43166e-08,2.94794
train,51,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0.0326978,1.95329e-07,2.94794
train,51,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0,0,2.94794
train,52,1,18,0,0.232035,0.07814,0.0715205,0.0740197,0,0.0405146,4.14567e-05,2.28934
train,52,1,19,0,0.232106,0.0781826,0.0715704,0.074006,0,0.0336416,4.30883e-05,2.28934
train,52,1,20,0.00621736,0.231874,0.0780979,0.0713567,0.0740001,0,0.023828,0.00616655,2.28934
train,52,1,21,0,0.231294,0.0778658,0.071179,0.0742057,0,0,1.50629e-05,2.28934
train,53,1,18,0.602224,0.232351,0.079324,0.0734064,0.0738757,0,0.319055,0.599983,2.20631
train,53,1,19,0.477501,0.232441,0.0793947,0.0734868,0.0738662,0,0.312182,0.477501,2.20631
train,53,1,20,0.582331,0.231805,0.0780779,0.071356,0.0740001,0,0.275128,0.58233,2.20631
train,53,1,21,0.223798,0.231549,0.0785855,0.0722098,0.0740197,0,0.256781,0.224266,2.20631
train,54,1,18,0.230668,0.231766,0.0780176,0.0713363,0.0740197,0,0.182172,0.229886,2.94267
train,54,1,19,0.0255727,0.231819,0.0780584,0.0713758,0.074006,0,0.175299,0.0255733,2.94267
train,54,1,20,0.317077,0.232775,0.0798235,0.0740935,0.073851,0,0.199187,0.317077,2.94267
train,54,1,21,0,0.231315,0.0778631,0.0712193,0.0742057,0,0.119898,3.07961e-07,2.94267
train,55,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.0814897,0.000284653,2.94794
train,55,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0.0746167,1.52021e-07,2.94794
train,55,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0.0648031,2.27248e-07,2.94794
train,55,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0.0192159,0,2.94794
train,56,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.0437031,0,0
train,56,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0.0368301,0,0
train,56,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0.0270166,0,0
train,56,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0,0,0
train,57,1,18,0.204392,0.232609,0.0795699,0.0739075,0.0738748,0,0.196198,0.205339,2.20631
train,57,1,19,0.206941,0.232694,0.0796359,0.0739923,0.0738668,0,0.189325,0.206942,2.20631
train,57,1,20,0.133817,0.2318,0.0780795,0.0713502,0.0740001,0,0.207218,0.133818,2.20631
train,57,1,21,0,0.231668,0.0787923,0.0725909,0.0739969,0,0.133925,0.00242415,2.20631
train,58,1,18,0,0.231536,0.0780109,0.0712899,0.0740197,0,0.0445745,7.61635e-09,3.39891
train,58,1,19,0,0.231581,0.0780469,0.0713295,0.074006,0,0.0377015,7.65852e-09,3.39891
train,58,1,20,0,0.231645,0.0780686,0.071327,0.0740001,0,0.0278879,7.06364e-09,3.39891
train,58,1,21,0,0.231226,0.0778753,0.0712163,0.0742057,0,0,5.09756e-09,3.39891
train,59,1,18,0,0.231537,0.0780107,0.0712898,0.0740197,0,0.0128434,0,3.39891
train,59,1,19,0,0.231582,0.0780467,0.0713296,0.074006,0,0.00597043,0,3.39891
train,59,1,20,0,0.231647,0.078069,0.0713272,0.0740001,0,0,0,3.39891
train,59,1,21,0,0.231225,0.0778749,0.0712153,0.0742057,0,0,0,3.39891
train,68,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,5.85833e-05,2.95121
train,68,2,19,0,0.231426,0.0778711,0.0711739,0.0740959,0,0.0678665,2.03382e-07,2.95121
train,68,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,0,2.95121
train,68,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0,0.000122461,2.95121
train,69,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,5.92248e-05,2.90316
train,69,2,19,0,0.231426,0.0778711,0.0711739,0.0740959,0,0.06787,2.0683e-07,2.90316
train,69,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,0,2.90316
train,69,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0,4.89896e-08,2.90316
train,70,2,18,0,0.231298,0.0778556,0.0712343,0.0742148,0,0,4.82969e-08,3.03065
train,70,2,19,0.169747,0.231669,0.0779149,0.0712571,0.0740959,0,0.0815056,0.169747,3.03065
train,70,2,20,0,0.231307,0.0779459,0.0712472,0.0741694,0,0,5.0601e-08,3.03065
train,70,2,21,0,0.231446,0.0783097,0.0714591,0.0740322,0,0.0054653,0.000211303,3.03065
train,71,2,18,0,0.231734,0.0788262,0.0725368,0.0740038,0,0.152125,1.39496e-07,2.43093
train,71,2,19,0.338124,0.232142,0.0791949,0.0732556,0.0739241,0,0.239096,0.338123,2.43093
train,71,2,20,0,0.231921,0.0791812,0.0729349,0.0739477,0,0.144115,1.4542e-07,2.43093
train,71,2,21,0.247959,0.231528,0.078266,0.0714743,0.0740322,0,0.107748,0.247958,2.43093
train,72,2,18,0,0.231621,0.0786434,0.0724435,0.0740175,0,0.0579528,1.33852e-07,2.43093
train,72,2,19,0.202446,0.232123,0.0790413,0.0732124,0.0739344,0,0.144925,0.202446,2.43093
train,72,2,20,0,0.231832,0.0789906,0.0728691,0.0739611,0,0.0499429,1.38826e-07,2.43093
train,72,2,21,0.00499225,0.231434,0.0782624,0.071446,0.0740322,0,0.0910803,0.00499245,2.43093
train,73,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,0,2.21738
train,73,2,19,0,0.231426,0.077871,0.0711739,0.0740959,0,0.0566846,3.91855e-10,2.21738
train,73,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,0,2.21738
train,73,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0,0,2.21738
train,74,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,0,2.28267
train,74,2,19,0,0.231426,0.0778711,0.0711739,0.0740959,0,0.061504,2.25833e-07,2.28267
train,74,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,0,2.28267
train,74,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0,0,2.28267
train,75,2,18,0,0.231813,0.0789757,0.0728734,0.0739933,0,0.0508504,0.000508458,2.43093
train,75,2,19,0.187017,0.232354,0.0793688,0.0736111,0.073924,0,0.137822,0.187017,2.43093
train,75,2,20,0,0.232021,0.0793181,0.0732744,0.0739481,0,0.0428405,1.36433e-07,2.43093
train,75,2,21,0.049252,0.231512,0.0782773,0.0714752,0.0740322,0,0.0556143,0.0492521,2.43093
train,76,2,18,0.1055,0.231242,0.0778285,0.0711994,0.0742148,0,0.193013,0.105823,2.90316
train,76,2,19,0.703731,0.231449,0.0778635,0.07117,0.0740959,0,0.279985,0.70373,2.90316
train,76,2,20,0.303973,0.23123,0.0779191,0.071206,0.0741694,0,0.185003,0.303972,2.90316
train,76,2,21,0.178279,0.232089,0.0795494,0.0732306,0.0738787,0,0.263906,0.178279,2.90316
train,77,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,0,2.3405
train,77,2,19,0,0.231426,0.077871,0.0711739,0.0740959,0,0.0636887,0,2.3405
train,77,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,0,2.3405
train,77,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0,0,2.3405
train,78,2,18,0,0.231366,0.077855,0.0712394,0.0742148,0,0,4.01847e-08,1.99205
train,78,2,19,0.108956,0.231709,0.077923,0.0712771,0.0740959,0,0.0538466,0.108956,1.99205
train,78,2,20,0,0.23141,0.0779644,0.071269,0.0741694,0,0,4.18319e-08,1.99205
train,78,2,21,0,0.231499,0.0783026,0.0714721,0.0740322,0,0,3.30046e-08,1.99205
train,79,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,0,2.3405
train,79,2,19,0,0.231426,0.077871,0.0711739,0.0740959,0,0.0767139,0,2.3405
train,79,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,0,2.3405
train,79,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0.000673652,0,2.3405
train,80,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,0,2.28267
train,80,2,19,0,0.231426,0.0778711,0.0711739,0.0740959,0,0.0325087,6.92253e-08,2.28267
train,80,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,0,2.28267
train,80,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0,0,2.28267
train,81,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,0,2.92155
train,81,2,19,0,0.231426,0.077871,0.0711739,0.0740959,0,0.0242087,0,2.92155
train,81,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,0,2.92155
train,81,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0,0,2.92155
train,82,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,1.9423e-08,1.91138
train,82,2,19,0,0.231426,0.0778711,0.0711739,0.0740959,0,0.0745203,2.18006e-07,1.91138
train,82,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,5.59623e-08,1.91138
train,82,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0,0,1.91138
train,83,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,0,2.91947
train,83,2,19,0,0.231426,0.077871,0.0711739,0.0740959,0,0.000511706,1.19506e-07,2.91947
train,83,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,0,2.91947
train,83,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0,6.71876e-08,2.91947
train,84,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0,0,0
train,84,2,19,0,0.231426,0.0778711,0.0711739,0.0740959,0,0.0608813,0,0
train,84,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0,0,0
train,84,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0,0,0
train,85,2,18,0,0.231907,0.0794382,0.073069,0.0740816,0,0.0152479,8.52369e-09,3.03065
train,85,2,19,0,0.231698,0.0779191,0.0712822,0.0740959,0,0.0760286,3.96775e-08,3.03065
train,85,2,20,0,0.231394,0.0779486,0.071268,0.0741694,0,0,2.69498e-08,3.03065
train,85,2,21,0,0.231435,0.0782785,0.0714694,0.0740322,0,0,0.000134668,3.03065
train,86,2,18,0,0.231238,0.0778293,0.0711984,0.0742148,0,0.184672,0.00148317,2.90316
train,86,2,19,0.457517,0.23144,0.0778658,0.0711683,0.0740959,0,0.271644,0.457517,2.90316
train,86,2,20,0,0.231225,0.0779223,0.0712046,0.0741694,0,0.176662,5.96829e-07,2.90316
train,86,2,21,0.220674,0.232045,0.0794302,0.0731863,0.0738965,0,0.213985,0.220674,2.90316
train,87,2,18,0,0.231229,0.0778403,0.0712108,0.0742148,0,0.0123938,0,1.91138
train,87,2,19,0,0.231426,0.077871,0.0711739,0.0740959,0,0.0993656,6.57777e-08,1.91138
train,87,2,20,0,0.23118,0.0779325,0.0712093,0.0741694,0,0.00438394,0,1.91138
train,87,2,21,0,0.231267,0.0782523,0.0713976,0.0740322,0,0.0233253,0,1.91138
train,88,2,18,0,0.231362,0.077858,0.0712339,0.0742148,0,0.017183,3.41318e-08,1.86429
train,88,2,19,0.0510009,0.231705,0.077929,0.0712772,0.0740959,0,0.104155,0.0510008,1.86429
train,88,2,20,0,0.231406,0.0779682,0.0712643,0.0741694,0,0.00917308,3.51834e-08,1.86429
train,88,2,21,0,0.231493,0.0783102,0.0714705,0.0740322,0,0.0281144,2.92679e-08,1.86429
train,89,2,18,0,0.231243,0.0778282,0.0711938,0.0742148,0,0.143637,4.68175e-07,2.90316
train,89,2,19,0.315416,0.231462,0.0778659,0.0711707,0.0740959,0,0.230609,0.315416,2.90316
train,89,2,20,0,0.231236,0.0779185,0.0711975,0.0741694,0,0.135627,5.06305e-07,2.90316
train,89,2,21,0,0.232193,0.0796691,0.0735185,0.0738651,0,0.184757,0.000959305,2.90316
val,0,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,0,0.305371
val,0,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.0133424,0.0281642,0.305371
val,0,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,0,0.305371
val,0,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,0,0.305371
val,1,0,18,0,0.231304,0.0778881,0.0712642,0.0741648,0,0.0943647,0,1.24736
val,1,0,19,0.545926,0.232087,0.0791486,0.0731253,0.0739137,0,0.226403,0.146335,1.24736
val,1,0,20,0,0.231279,0.0778875,0.0712551,0.0742177,0,0.106872,0,1.24736
val,1,0,21,0,0.231952,0.0792565,0.0729959,0.073941,0,0.160047,0.0461675,1.24736
val,2,0,18,0,0.231206,0.0778993,0.0712724,0.0741648,0,0,0.000230214,0
val,2,0,19,0,0.231507,0.0778849,0.0712022,0.0740756,0,0.0338509,0.000625861,0
val,2,0,20,0,0.231239,0.0779058,0.0712767,0.0742177,0,0,0.000250285,0
val,2,0,21,0,0.231194,0.0779895,0.0712574,0.074156,0,0,0.00025123,0
val,3,0,18,0,0.231268,0.0778761,0.0712553,0.0741648,0,0,0,3.1566
val,3,0,19,0,0.231549,0.0778516,0.0711839,0.0740756,0,0,0.00597632,3.1566
val,3,0,20,0,0.231952,0.0794953,0.0731713,0.074067,0,0,0.0195524,3.1566
val,3,0,21,0,0.231221,0.0779625,0.0712533,0.074156,0,0,0,3.1566
val,30,1,18,0.192436,0.231556,0.0780337,0.0713323,0.0740197,0,0.0540786,0,5.4029
val,30,1,19,0.0191149,0.231609,0.078069,0.0713703,0.074006,0,0.0472057,0,5.4029
val,30,1,20,0.109299,0.231687,0.0780589,0.0713364,0.0740001,0,0.0373921,0,5.4029
val,30,1,21,0,0.231233,0.0778799,0.0712346,0.0742057,0,0,0,5.4029
